Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-03-14T00:00:00.000Z;33.01644897;29.54396248;200.546051;41.73741913;0.004545399;0.126367465;2.984473228;0.001121007;0.13744083;0.368656278
2022-03-15T00:00:00.000Z;33.0072937;29.48316956;200.6633911;41.3731575;0.00451208;0.126607656;2.999954224;0.001115405;0.134079114;0.349630594
2022-03-16T00:00:00.000Z;33.01797485;29.76003265;200.9300842;41.27357483;0.004626645;0.125918314;3.026000023;0.001109866;0.132632077;0.330945343
2022-03-17T00:00:00.000Z;33.0072937;30.12405777;200.8590698;41.60709763;0.005272024;0.123825431;3.0320611;0.001102814;0.134086013;0.320024818
2022-03-18T00:00:00.000Z;33.02407837;29.94680595;200.5931244;42.05073547;0.005752424;0.12220712;3.015935659;0.001096559;0.138632536;0.314443976
2022-03-19T00:00:00.000Z;33.14920425;30.27494049;200.175293;42.46976471;0.005053754;0.120098837;3.000170708;0.001096996;0.142168373;0.305437773
2022-03-20T00:00:00.000Z;33.17361832;30.01638794;199.8459625;42.48545837;0.003392061;0.118555285;3.003730536;0.001094115;0.139203042;0.303159297
2022-03-21T00:00:00.000Z;33.05001831;29.69850731;199.6298981;41.94767761;0.002295242;0.118171379;3.04168725;0.00110355;0.132486567;0.302296638
2022-03-22T00:00:00.000Z;32.97372437;29.45753288;199.4926605;41.39706421;0.002071349;0.117031053;3.12398243;0.001144586;0.126171723;0.296408325
2022-03-23T00:00:00.000Z;32.94168091;29.31397438;199.8922577;40.7128334;0.00211499;0.117174834;3.191859961;0.001169029;0.118746251;0.291575879
2022-03-24T00:00:00.000Z;32.87911606;29.18726158;200.5828094;40.02946854;0.002009815;0.118391365;3.232784271;0.001180121;0.119430371;0.364984304
2022-03-25T00:00:00.000Z;32.66548538;29.16968346;201.0474854;39.68153381;0.001752052;0.12037427;3.237354994;0.001180401;0.123414941;0.460090548
2022-03-26T00:00:00.000Z;32.55714417;28.99169922;201.1235809;39.68120956;0.001715434;0.120489679;3.246359825;0.00118519;0.124750011;0.451920927
2022-03-27T00:00:00.000Z;32.53578186;28.88842392;200.9326324;39.79661179;0.00187979;0.119912997;3.250647306;0.001183321;0.123963147;0.423255354
2022-03-28T00:00:00.000Z;32.55256653;28.66209984;200.8638;39.71562195;0.001768786;0.119625151;3.249793053;0.001176192;0.121533945;0.394459903
2022-03-29T00:00:00.000Z;32.56019592;28.65917015;200.8437653;39.54233551;0.001926729;0.119445242;3.254502058;0.001173564;0.119805694;0.367478997
2022-03-30T00:00:00.000Z;32.58919144;28.67381859;200.7196198;39.72168732;0.002270036;0.118945442;3.253530979;0.001168929;0.118710265;0.339999437
2022-03-31T00:00:00.000Z;32.61513138;28.61156082;200.8093414;39.7252121;0.002073267;0.118724763;3.238779306;0.001157662;0.116317548;0.321594328
2022-04-01T00:00:00.000Z;32.63344193;28.80639076;200.842514;39.69081879;0.002538198;0.118301876;3.200679064;0.001137361;0.115802512;0.316999346
2022-04-02T00:00:00.000Z;32.67311478;28.88036728;200.8287659;39.91638184;0.003201058;0.117053255;3.160356522;0.001119792;0.116708599;0.324195623
2022-04-03T00:00:00.000Z;32.71126556;29.17481041;200.8307037;40.23073196;0.004182782;0.115087032;3.140992641;0.001112728;0.119187519;0.330479354
